,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__l2_regularization,param_classifier__learning_rate,param_classifier__max_bins,param_classifier__max_leaf_nodes,param_classifier__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.1768521785736084,0.010933751249661816,0.02906975746154785,0.0007942132000217727,0.0742443261831304,0.9892619568805632,3,72,16,"{'classifier__l2_regularization': np.float64(0.0742443261831304), 'classifier__learning_rate': np.float64(0.9892619568805632), 'classifier__max_bins': np.int64(3), 'classifier__max_leaf_nodes': np.int64(72), 'classifier__min_samples_leaf': np.int64(16)}",0.8061962604067149,0.801938301938302,0.7982527982527983,0.7997542997542998,0.7992082992082992,0.8010699919120828,0.0028342941510004246,275
1,0.29100341796875,0.004262202358043388,0.03347349166870117,0.0035793506811450694,2.885264212428433e-05,0.0036314252706862145,4,10,46,"{'classifier__l2_regularization': np.float64(2.885264212428433e-05), 'classifier__learning_rate': np.float64(0.0036314252706862145), 'classifier__max_bins': np.int64(4), 'classifier__max_leaf_nodes': np.int64(10), 'classifier__min_samples_leaf': np.int64(46)}",0.7589736590691961,0.758940758940759,0.758940758940759,0.758940758940759,0.758940758940759,0.7589473389664464,1.316005137486087e-05,333
2,0.1824331760406494,0.008130201729410027,0.02633967399597168,0.0010230063725309047,0.009646818919619398,3.777931852769197,35,104,2,"{'classifier__l2_regularization': np.float64(0.009646818919619398), 'classifier__learning_rate': np.float64(3.777931852769197), 'classifier__max_bins': np.int64(35), 'classifier__max_leaf_nodes': np.int64(104), 'classifier__min_samples_leaf': np.int64(2)}",0.7470997679814385,0.6622986622986623,0.6341796341796342,0.741059241059241,0.7338247338247338,0.7036924078687419,0.04633336612082408,449
3,0.44017510414123534,0.030407959393194496,0.041154670715332034,0.002857781447102535,6.872791616357231e-05,0.002304516145999898,87,29,48,"{'classifier__l2_regularization': np.float64(6.872791616357231e-05), 'classifier__learning_rate': np.float64(0.002304516145999898), 'classifier__max_bins': np.int64(87), 'classifier__max_leaf_nodes': np.int64(29), 'classifier__min_samples_leaf': np.int64(48)}",0.7589736590691961,0.758940758940759,0.758940758940759,0.758940758940759,0.758940758940759,0.7589473389664464,1.316005137486087e-05,333
4,0.1528615951538086,0.0050372409369261574,0.026445341110229493,0.0028303547063030033,0.2065047765619095,0.8601886620305262,6,9,1,"{'classifier__l2_regularization': np.float64(0.2065047765619095), 'classifier__learning_rate': np.float64(0.8601886620305262), 'classifier__max_bins': np.int64(6), 'classifier__max_leaf_nodes': np.int64(9), 'classifier__min_samples_leaf': np.int64(1)}",0.8257131158727993,0.8361998361998362,0.8321048321048321,0.8292383292383292,0.8291018291018291,0.830471588503525,0.0035077211218281436,192
5,0.22311277389526368,0.007497112104376826,0.025443553924560547,0.002887956786872359,0.32608065550580606,2.4334170811796834,21,85,1,"{'classifier__l2_regularization': np.float64(0.32608065550580606), 'classifier__learning_rate': np.float64(2.4334170811796834), 'classifier__max_bins': np.int64(21), 'classifier__max_leaf_nodes': np.int64(85), 'classifier__min_samples_leaf': np.int64(1)}",0.7888631090487239,0.7181272181272181,0.7800982800982801,0.7813267813267813,0.76003276003276,0.7656896297267527,0.02562546792343654,323
6,0.2463222026824951,0.01114330231860798,0.028150653839111327,0.0006911887854811226,0.003138297493551671,2.4308322551192165,2,230,2,"{'classifier__l2_regularization': np.float64(0.003138297493551671), 'classifier__learning_rate': np.float64(2.4308322551192165), 'classifier__max_bins': np.int64(2), 'classifier__max_leaf_nodes': np.int64(230), 'classifier__min_samples_leaf': np.int64(2)}",0.5243619489559165,0.6295386295386295,0.6336336336336337,0.527982527982528,0.7047502047502048,0.6040533889721825,0.06899541806869121,478
7,0.3850240230560303,0.014202686786593588,0.03778839111328125,0.001958572827927367,0.0005369294060260527,0.012718672289528717,20,19,4,"{'classifier__l2_regularization': np.float64(0.0005369294060260527), 'classifier__learning_rate': np.float64(0.012718672289528717), 'classifier__max_bins': np.int64(20), 'classifier__max_leaf_nodes': np.int64(19), 'classifier__min_samples_leaf': np.int64(4)}",0.8389518220281151,0.8372918372918373,0.8442533442533443,0.8408408408408409,0.8390663390663391,0.8400808366960953,0.002369380630189132,173
8,0.31066012382507324,0.029815065496121392,0.03105311393737793,0.0013843310619851255,0.03147412173954084,0.39779131669304363,3,108,22,"{'classifier__l2_regularization': np.float64(0.03147412173954084), 'classifier__learning_rate': np.float64(0.39779131669304363), 'classifier__max_bins': np.int64(3), 'classifier__max_leaf_nodes': np.int64(108), 'classifier__min_samples_leaf': np.int64(22)}",0.8081070015012966,0.8063063063063063,0.803030303030303,0.8022113022113022,0.8015288015288016,0.804236742915602,0.002535856776164899,258
9,0.42952699661254884,0.056668780072826615,0.04073481559753418,0.001145693211632315,8.491019596974901,0.07778164264253751,29,22,16,"{'classifier__l2_regularization': np.float64(8.491019596974901), 'classifier__learning_rate': np.float64(0.07778164264253751), 'classifier__max_bins': np.int64(29), 'classifier__max_leaf_nodes': np.int64(22), 'classifier__min_samples_leaf': np.int64(16)}",0.854783676811792,0.8602238602238602,0.8547638547638547,0.8551733551733551,0.855992355992356,0.8561874205930436,0.0020667007543673553,62
